"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
462192,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Parameterized qualified type prevents children from resolving, if the package of the type can't be resolved","2016-08-30 00:52:00"
543086,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","Content assist is not working in Expressions view","2019-01-03 00:52:43"
492361,"JDT","Debug","carsten.pfeiffer","RESOLVED","WORKSFORME","[source lookup] Support for projects with multiple output locations","2016-10-18 04:31:07"
545119,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Discrepancy between errors in editor and in the views package explorer / problems","2019-03-06 08:16:40"
529281,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Eclipse not Found Class java.sql.Time - Similar to Bug 498728","2018-01-07 23:37:55"
499314,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[rename method] A behavior preserving transformation (Rename Method Refactoring) is rejected. ['p.A' or a type in its hierarchy defines  a method 'k' with the same number  of parameters and the same  parameter type names.]","2019-04-10 04:07:35"
472958,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[mark occurrence] Mark occurrences ignores color","2015-07-21 12:05:34"
547439,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","When 2 interfaces with same name implemented the IDE cannot make difference between two","2019-05-27 10:51:27"
533387,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse can not convert number to BigDecimal in Junit5 @CsvSource","2018-04-11 07:29:33"
507010,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","New Java Class via Quick Access results in an exception","2016-11-09 19:02:05"
536272,"JDT","UI","jarthana","RESOLVED","WORKSFORME","[11] JEP 309 Unicode  support","2018-07-13 11:53:59"
513386,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[1.9][model] Object class shown twice in java.lang in package explorer","2017-03-13 02:53:48"
456783,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","Workbench hanging on code completion","2015-01-09 09:09:13"
539526,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Lots of ResourceException during a platform ui build (using a Runtime Eclipse)","2018-09-27 00:57:13"
518624,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[9] NPE in ModuleDeclaration.resolve","2017-10-09 04:28:04"
487481,"JDT","Core","manpalat","RESOLVED","WORKSFORME","95 unit test failures in jdt.core.tests in recent M-build","2016-02-10 22:01:20"
463333,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[1.8][content assist] No code completion for resolving default method conflicts","2015-03-30 02:32:27"
525484,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","[9] HierarchyResolver should use module scope when using LookupEnvironment","2019-11-26 08:31:14"
492745,"JDT","Core","jarthana","RESOLVED","WORKSFORME","JavaFX Modules/Packages not accessible/available","2017-01-18 10:32:49"
468570,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","NoSuchMethodError in BuildPathsPropertyPage.createContents (78)","2015-05-30 04:06:58"
545229,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","content assist map.put is replaced with map.compute","2019-07-22 05:03:04"
529434,"JDT","Core","manpalat","RESOLVED","WORKSFORME","[18.3] Add Search support for 'var' - local-variable type inference (JEP 286)","2018-02-19 09:17:41"
499319,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[push down method] A behavior preserving transformation (Push Down Method Refactoring) is rejected. [Method (with the same signature)  already exists in type , which  will result in compile errors  if you proceed]","2018-12-13 02:21:30"
473024,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[correction] Selected item in content assist is not readable when using dark theme on Win7","2015-07-22 06:39:00"
533389,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Eclipse displays ""No tests found with test runner Junit5"" when there is error in `@MethodSource`","2018-04-11 07:24:55"
507356,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[content assist] Turning off “show substring matches” doenst seem to work (eclipse neon)","2016-12-16 03:25:57"
476723,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","[1.8][compile][inference] Ambiguous method references aren't reported as such","2017-04-01 14:16:24"
536330,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[9] Improving User experience for modular java projects","2019-11-23 18:53:05"
513392,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Step Filter does not work after breaking in a filtered class","2017-03-13 01:00:24"
481362,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Substring completion not taken over","2015-11-05 02:09:03"
457213,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[typing] Please don't indent lines following a braceless statement block","2015-01-12 06:18:03"
518958,"JDT","Core","stephan.herrmann","CLOSED","WORKSFORME","Organize imports adds ""import java.;"" as import","2018-04-09 07:28:42"
463869,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","SE in SocketTransportService.accept (103)","2015-04-05 12:42:45"
468919,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","StandInException in MarkerUtilities.handleCoreException (225)","2015-06-01 07:44:04"
530963,"JDT","UI","jjohnstn","CLOSED","WORKSFORME","[refactoring] Pull Up Method makes a class abstract and does not remove method from its origin class","2019-01-23 15:51:57"
499352,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","List of installed JREs is empty","2019-05-22 04:48:50"
473174,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Klass type overlay icons missing","2015-07-21 08:38:09"
547464,"JDT","APT","jarthana","RESOLVED","WORKSFORME","[13] Annotation processor should report warning if an option is repeated","2019-11-13 11:27:13"
533466,"JDT","UI","kalyan_prasad","RESOLVED","WORKSFORME","Error: Source compatibility must be equal or less than compliance level","2018-10-29 04:29:45"
507713,"JDT","UI","jdt-ui-inbox","CLOSED","WORKSFORME","renaming a class causes a comment to disappear","2016-11-17 20:25:41"
477124,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Exporting Java Formatter to Existing File then Applying Sometimes Causes Eclipse to Crash","2016-04-05 10:53:25"
536535,"JDT","UI","kalyan_prasad","CLOSED","WORKSFORME","About the JDK10 Javadoc location setting","2018-11-14 10:45:09"
513422,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","JDT null analysis report a redundant check even when @Nullable is established","2019-10-26 15:10:32"
